cse_id,alert_id,asset_id,severity,alert_type,created_time,acknowledged_time,investigation_start,investigation_end,closure_time,escalated,disposition,investigation_evidence,investigation_notes,asset_criticality,expected_activity,observed_activity
CSE-B,ALT-00430,ASSET-003,HIGH,Privilege Escalation,2026-06-20 14:43:01,2026-06-20 16:05:59,2026-06-20 16:18:59,2026-06-20 18:34:39,2026-06-21 01:11:36,False,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,101,69
CSE-B,ALT-00431,ASSET-041,MEDIUM,Malware,2026-02-05 14:03:12,2026-02-05 14:27:36,2026-02-05 14:29:36,2026-02-05 15:35:35,2026-02-05 22:32:23,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,80,61
CSE-C,ALT-00432,ASSET-049,MEDIUM,Data Exfiltration,2026-03-26 12:30:34,2026-03-26 12:35:32,,,2026-03-26 19:46:15,False,False Positive,False,,HIGH,113,28
CSE-A,ALT-00433,ASSET-093,LOW,Brute Force,2026-02-19 11:24:13,2026-02-19 11:30:18,2026-02-19 11:48:18,2026-02-19 13:47:33,2026-02-19 13:35:45,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,134,106
CSE-C,ALT-00434,ASSET-062,HIGH,Network Anomaly,2026-06-12 17:12:05,2026-06-12 17:36:30,2026-06-12 17:52:30,2026-06-12 18:08:57,2026-06-12 23:09:17,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,138,36
CSE-C,ALT-00435,ASSET-092,HIGH,Suspicious Login,2026-05-22 13:23:24,2026-05-22 13:53:43,,,2026-05-22 19:01:21,False,False Positive,False,Closed quickly — no notes.,HIGH,109,50
CSE-A,ALT-00436,ASSET-098,LOW,Privilege Escalation,2026-05-06 16:05:25,2026-05-06 16:30:48,2026-05-06 16:40:48,2026-05-06 17:32:14,2026-05-06 19:23:12,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,112,114
CSE-E,ALT-00437,ASSET-078,MEDIUM,Privilege Escalation,2026-06-28 15:34:59,2026-06-28 16:34:46,2026-06-28 16:50:46,2026-06-28 17:04:44,2026-06-28 17:28:30,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,107,63
CSE-E,ALT-00438,ASSET-055,LOW,Suspicious Login,2026-01-04 10:34:41,2026-01-04 12:11:39,2026-01-04 12:34:39,2026-01-04 15:10:36,2026-01-04 21:27:37,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,147,98
CSE-D,ALT-00439,ASSET-009,MEDIUM,Unauthorized Access,2026-01-23 14:52:52,2026-01-23 14:59:09,2026-01-23 15:23:09,2026-01-23 19:01:53,2026-01-23 16:05:19,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,133,131
CSE-C,ALT-00440,ASSET-008,MEDIUM,Suspicious Login,2026-02-15 11:17:12,2026-02-15 11:49:23,,,2026-02-15 15:59:59,False,True Positive,False,,MEDIUM,193,84
CSE-D,ALT-00441,ASSET-008,MEDIUM,Brute Force,2026-06-12 14:00:05,2026-06-12 14:14:12,2026-06-12 14:25:12,2026-06-12 14:55:49,2026-06-12 23:23:43,False,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,80,74
CSE-A,ALT-00442,ASSET-086,HIGH,Malware,2026-04-07 13:32:59,2026-04-07 13:50:29,2026-04-07 14:10:29,2026-04-07 18:04:50,2026-04-07 20:26:49,False,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,158,121
CSE-C,ALT-00443,ASSET-090,MEDIUM,Malware,2026-04-27 13:42:46,2026-04-27 14:37:42,,,2026-04-27 20:05:49,False,False Positive,False,,MEDIUM,121,36
CSE-D,ALT-00444,ASSET-011,MEDIUM,Data Exfiltration,2026-01-01 10:59:01,2026-01-01 11:21:24,2026-01-01 11:45:24,2026-01-01 14:47:07,2026-01-01 16:21:02,False,Benign True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,200,217
CSE-A,ALT-00445,ASSET-071,LOW,Phishing,2026-06-05 11:26:55,2026-06-05 11:45:51,2026-06-05 12:08:51,2026-06-05 16:41:53,2026-06-05 21:00:41,True,Under Investigation,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,139,114
CSE-A,ALT-00446,ASSET-086,MEDIUM,Data Exfiltration,2026-03-04 10:31:06,2026-03-04 10:46:51,2026-03-04 10:57:51,2026-03-04 14:29:40,2026-03-04 15:17:37,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,97,109
CSE-D,ALT-00447,ASSET-038,HIGH,Privilege Escalation,2026-02-27 20:30:04,2026-02-27 20:52:25,2026-02-27 21:15:25,2026-02-28 00:46:06,2026-02-28 05:20:16,True,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,91,84
CSE-B,ALT-00448,ASSET-087,LOW,Brute Force,2026-05-27 14:20:24,2026-05-27 15:39:11,2026-05-27 15:41:11,2026-05-27 18:17:45,2026-05-27 22:46:38,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,102,81
CSE-E,ALT-00449,ASSET-019,HIGH,Unauthorized Access,2026-01-03 16:51:20,2026-01-03 17:15:12,,,2026-01-04 02:11:55,False,Benign True Positive,False,,MEDIUM,78,52
CSE-E,ALT-00450,ASSET-029,LOW,Brute Force,2026-03-12 19:35:30,2026-03-12 21:01:23,2026-03-12 21:11:23,2026-03-12 22:52:26,2026-03-13 00:03:15,False,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,83,64
CSE-D,ALT-00451,ASSET-090,LOW,Phishing,2026-06-18 05:26:01,2026-06-18 05:45:26,2026-06-18 06:07:26,2026-06-18 10:24:48,2026-06-18 13:25:30,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,169,179
CSE-A,ALT-00452,ASSET-074,HIGH,Malware,2026-03-19 11:47:36,2026-03-19 11:54:04,2026-03-19 12:04:04,2026-03-19 13:33:17,2026-03-19 15:59:51,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,180,194
CSE-D,ALT-00453,ASSET-052,LOW,Unauthorized Access,2026-06-23 01:55:06,2026-06-23 02:08:36,2026-06-23 02:10:36,2026-06-23 03:26:08,2026-06-23 13:16:03,False,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,95,83
CSE-C,ALT-00454,ASSET-016,MEDIUM,Suspicious Login,2026-06-17 10:31:49,2026-06-17 11:02:44,,,2026-06-17 13:43:24,False,Benign True Positive,False,Closed quickly — no notes.,CRITICAL,105,38
CSE-E,ALT-00455,ASSET-069,HIGH,Network Anomaly,2026-03-12 10:36:50,2026-03-12 11:57:01,2026-03-12 12:18:01,2026-03-12 14:14:20,2026-03-12 14:30:07,False,Under Investigation,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,75,48
CSE-E,ALT-00456,ASSET-021,MEDIUM,Brute Force,2026-02-23 04:00:11,2026-02-23 05:55:49,2026-02-23 05:56:49,2026-02-23 08:24:17,2026-02-23 08:25:51,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,135,101
CSE-A,ALT-00457,ASSET-089,LOW,Phishing,2026-04-04 05:51:27,2026-04-04 06:14:27,2026-04-04 06:16:27,2026-04-04 10:57:24,2026-04-04 18:14:01,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,196,214
CSE-E,ALT-00458,ASSET-080,MEDIUM,Data Exfiltration,2026-06-26 09:45:15,2026-06-26 09:54:27,2026-06-26 10:01:27,2026-06-26 10:41:05,2026-06-26 14:01:04,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,135,79
CSE-B,ALT-00459,ASSET-078,HIGH,Brute Force,2026-03-07 11:26:34,2026-03-07 11:57:38,2026-03-07 12:06:38,2026-03-07 14:54:22,2026-03-07 18:49:14,False,Under Investigation,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,109,74
CSE-D,ALT-00460,ASSET-013,CRITICAL,Data Exfiltration,2026-01-20 10:52:43,2026-01-20 11:12:09,2026-01-20 11:33:09,2026-01-20 12:33:32,2026-01-20 14:42:04,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,128,134
CSE-B,ALT-00461,ASSET-097,MEDIUM,Phishing,2026-05-31 16:42:06,2026-05-31 17:54:28,2026-05-31 18:04:28,2026-05-31 20:30:45,2026-05-31 20:06:25,True,False Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,158,142
CSE-E,ALT-00462,ASSET-007,MEDIUM,Unauthorized Access,2026-05-03 13:25:00,2026-05-03 14:57:32,,,2026-05-03 17:31:41,False,Under Investigation,False,N/A,MEDIUM,164,118
CSE-E,ALT-00463,ASSET-053,HIGH,Network Anomaly,2026-02-16 15:02:51,2026-02-16 16:07:23,2026-02-16 16:21:23,2026-02-16 18:40:08,2026-02-16 21:45:03,False,Escalated to Tier-2,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,93,61
CSE-B,ALT-00464,ASSET-066,LOW,Suspicious Login,2026-05-28 13:52:35,2026-05-28 15:01:26,,,2026-05-29 00:12:25,False,False Positive,False,Closed quickly — no notes.,MEDIUM,101,75
CSE-B,ALT-00465,ASSET-098,LOW,Malware,2026-04-19 14:53:15,2026-04-19 16:23:13,,,2026-04-19 17:36:51,False,True Positive,False,N/A,HIGH,127,78
CSE-B,ALT-00466,ASSET-039,MEDIUM,Malware,2026-04-19 11:54:23,2026-04-19 12:13:44,,,2026-04-19 21:56:38,False,True Positive,False,,HIGH,137,92
CSE-E,ALT-00467,ASSET-045,HIGH,Phishing,2026-06-14 09:36:59,2026-06-14 10:41:56,2026-06-14 10:57:56,2026-06-14 11:17:18,2026-06-14 18:58:17,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,117,66
CSE-A,ALT-00468,ASSET-024,MEDIUM,Data Exfiltration,2026-01-22 11:37:26,2026-01-22 11:43:24,2026-01-22 11:48:24,2026-01-22 14:11:38,2026-01-22 19:12:47,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,114,91
CSE-D,ALT-00469,ASSET-086,HIGH,Privilege Escalation,2026-04-22 12:23:07,2026-04-22 12:31:25,2026-04-22 12:44:25,2026-04-22 16:35:12,2026-04-22 14:03:35,False,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,95,89
CSE-D,ALT-00470,ASSET-002,LOW,Suspicious Login,2026-03-25 13:38:32,2026-03-25 14:04:31,2026-03-25 14:17:31,2026-03-25 15:39:38,2026-03-26 04:35:32,True,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,110,87
CSE-D,ALT-00471,ASSET-034,LOW,Malware,2026-04-22 13:48:31,2026-04-22 13:53:19,2026-04-22 14:13:19,2026-04-22 15:47:05,2026-04-22 18:04:34,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,111,111
CSE-B,ALT-00472,ASSET-055,MEDIUM,Brute Force,2026-06-29 12:05:12,2026-06-29 13:25:52,2026-06-29 13:33:52,2026-06-29 14:09:00,2026-06-29 14:35:09,False,Escalated to Tier-2,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,121,65
CSE-D,ALT-00473,ASSET-045,MEDIUM,Phishing,2026-06-29 12:56:14,2026-06-29 13:08:41,2026-06-29 13:25:41,2026-06-29 17:19:22,2026-06-29 19:19:48,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,111,92
CSE-B,ALT-00474,ASSET-013,CRITICAL,Malware,2026-06-19 12:37:18,2026-06-19 13:42:35,,,2026-06-19 18:31:06,False,False Positive,False,,MEDIUM,103,70
CSE-E,ALT-00475,ASSET-084,MEDIUM,Privilege Escalation,2026-03-02 12:35:37,2026-03-02 13:29:42,,,2026-03-02 15:57:44,False,Escalated to Tier-2,False,,MEDIUM,119,83
CSE-A,ALT-00476,ASSET-092,LOW,Privilege Escalation,2026-03-19 12:26:34,2026-03-19 12:51:43,2026-03-19 12:58:43,2026-03-19 16:48:18,2026-03-19 23:10:05,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,135,105
CSE-E,ALT-00477,ASSET-010,LOW,Malware,2026-02-12 11:12:18,2026-02-12 11:22:54,2026-02-12 11:45:54,2026-02-12 12:39:41,2026-02-12 20:14:37,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,200,121
CSE-D,ALT-00478,ASSET-035,MEDIUM,Data Exfiltration,2026-02-17 12:43:37,2026-02-17 13:07:37,2026-02-17 13:24:37,2026-02-17 17:33:09,2026-02-17 18:32:56,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,101,89
CSE-B,ALT-00479,ASSET-078,HIGH,Suspicious Login,2026-03-13 09:13:55,2026-03-13 09:25:36,,,2026-03-13 19:02:43,True,False Positive,False,,MEDIUM,153,92
CSE-C,ALT-00480,ASSET-069,MEDIUM,Unauthorized Access,2026-06-06 09:58:40,2026-06-06 10:51:40,,,2026-06-06 17:25:57,False,Escalated to Tier-2,False,,MEDIUM,189,102
CSE-A,ALT-00481,ASSET-062,LOW,Unauthorized Access,2026-06-17 12:31:52,2026-06-17 12:48:06,2026-06-17 12:55:06,2026-06-17 16:32:15,2026-06-17 17:30:52,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,103,90
CSE-B,ALT-00482,ASSET-052,MEDIUM,Suspicious Login,2026-06-15 14:17:10,2026-06-15 14:45:02,2026-06-15 15:05:02,2026-06-15 15:58:06,2026-06-15 16:28:29,False,Escalated to Tier-2,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,105,83
CSE-E,ALT-00483,ASSET-002,CRITICAL,Unauthorized Access,2026-01-06 09:13:48,2026-01-06 11:05:29,,,2026-01-06 12:55:46,True,Benign True Positive,False,,CRITICAL,97,64
CSE-A,ALT-00484,ASSET-014,HIGH,Network Anomaly,2026-05-25 05:34:19,2026-05-25 05:46:49,2026-05-25 05:48:49,2026-05-25 10:42:33,2026-05-25 17:14:23,True,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,93,87
CSE-B,ALT-00485,ASSET-046,CRITICAL,Data Exfiltration,2026-01-07 15:34:09,2026-01-07 16:24:50,2026-01-07 16:46:50,2026-01-07 18:30:33,2026-01-07 18:47:04,True,Escalated to Tier-2,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,162,144
CSE-A,ALT-00486,ASSET-085,MEDIUM,Suspicious Login,2026-04-20 12:05:43,2026-04-20 12:20:52,2026-04-20 12:42:52,2026-04-20 15:32:31,2026-04-20 19:02:48,True,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,113,112
CSE-A,ALT-00487,ASSET-017,LOW,Suspicious Login,2026-06-17 11:31:24,2026-06-17 11:48:10,2026-06-17 12:04:10,2026-06-17 12:53:17,2026-06-17 19:50:56,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,129,114
CSE-D,ALT-00488,ASSET-050,MEDIUM,Unauthorized Access,2026-06-04 11:22:08,2026-06-04 11:45:06,2026-06-04 11:59:06,2026-06-04 16:55:37,2026-06-04 21:51:37,False,Under Investigation,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,171,160
CSE-B,ALT-00489,ASSET-100,MEDIUM,Data Exfiltration,2026-04-03 09:17:23,2026-04-03 10:33:53,,,2026-04-03 12:05:51,False,Under Investigation,False,,MEDIUM,145,109
CSE-D,ALT-00490,ASSET-077,HIGH,Data Exfiltration,2026-01-15 11:00:44,2026-01-15 11:24:53,2026-01-15 11:25:53,2026-01-15 15:18:16,2026-01-16 00:22:59,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,83,65
CSE-A,ALT-00491,ASSET-083,HIGH,Malware,2026-05-26 14:12:09,2026-05-26 14:38:20,2026-05-26 14:43:20,2026-05-26 19:29:04,2026-05-26 23:24:46,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,116,86
CSE-A,ALT-00492,ASSET-065,MEDIUM,Suspicious Login,2026-05-09 15:45:53,2026-05-09 16:01:36,,,2026-05-10 02:14:21,False,Escalated to Tier-2,False,Closed quickly — no notes.,HIGH,109,94
CSE-C,ALT-00493,ASSET-083,LOW,Unauthorized Access,2026-02-02 15:50:39,2026-02-02 15:54:53,2026-02-02 16:18:53,2026-02-02 16:38:31,2026-02-02 23:13:37,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,138,24
CSE-D,ALT-00494,ASSET-026,HIGH,Brute Force,2026-01-27 14:43:01,2026-01-27 14:52:19,2026-01-27 14:56:19,2026-01-27 15:44:32,2026-01-27 16:04:07,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,84,67
CSE-E,ALT-00495,ASSET-046,MEDIUM,Network Anomaly,2026-01-12 10:35:19,2026-01-12 10:41:41,,,2026-01-12 19:38:53,False,False Positive,False,Closed quickly — no notes.,MEDIUM,94,57
CSE-A,ALT-00496,ASSET-030,MEDIUM,Suspicious Login,2026-01-07 15:31:30,2026-01-07 15:52:25,2026-01-07 16:02:25,2026-01-07 17:39:34,2026-01-07 17:58:21,False,Escalated to Tier-2,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,183,177
CSE-B,ALT-00497,ASSET-031,LOW,Privilege Escalation,2026-04-25 11:34:18,2026-04-25 12:25:57,,,2026-04-25 13:36:54,False,Benign True Positive,False,Closed quickly — no notes.,CRITICAL,89,87
CSE-D,ALT-00498,ASSET-012,HIGH,Malware,2026-02-06 10:33:35,2026-02-06 10:38:06,2026-02-06 10:49:06,2026-02-06 12:31:05,2026-02-06 14:23:10,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,170,173
CSE-D,ALT-00499,ASSET-080,LOW,Network Anomaly,2026-06-16 04:13:36,2026-06-16 04:30:38,2026-06-16 04:40:38,2026-06-16 08:21:04,2026-06-16 17:06:46,False,False Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,127,103
CSE-E,ALT-00500,ASSET-010,MEDIUM,Malware,2026-06-08 01:56:47,2026-06-08 03:43:02,2026-06-08 04:01:02,2026-06-08 04:08:11,2026-06-08 09:05:26,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,188,134
CSE-D,ALT-00501,ASSET-061,MEDIUM,Network Anomaly,2026-01-28 10:50:58,2026-01-28 11:05:47,2026-01-28 11:18:47,2026-01-28 14:21:51,2026-01-28 17:56:25,False,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,138,106
CSE-D,ALT-00502,ASSET-082,HIGH,Data Exfiltration,2026-03-23 15:29:03,2026-03-23 15:42:53,2026-03-23 15:58:53,2026-03-23 18:02:56,2026-03-23 17:06:41,False,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,98,79
CSE-A,ALT-00503,ASSET-061,HIGH,Network Anomaly,2026-04-18 13:25:11,2026-04-18 13:53:14,2026-04-18 14:07:14,2026-04-18 17:18:02,2026-04-18 17:26:26,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,180,146
CSE-C,ALT-00504,ASSET-096,LOW,Unauthorized Access,2026-01-03 12:23:04,2026-01-03 13:10:46,,,2026-01-03 16:16:28,False,Escalated to Tier-2,False,,MEDIUM,183,41
CSE-D,ALT-00505,ASSET-025,LOW,Network Anomaly,2026-03-23 15:56:16,2026-03-23 16:15:02,2026-03-23 16:30:02,2026-03-23 17:49:42,2026-03-24 04:09:39,True,True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,149,157
CSE-D,ALT-00506,ASSET-053,HIGH,Data Exfiltration,2026-02-18 19:41:00,2026-02-18 19:54:52,2026-02-18 20:04:52,2026-02-18 22:57:24,2026-02-19 08:51:23,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,186,180
CSE-C,ALT-00507,ASSET-012,CRITICAL,Suspicious Login,2026-04-28 12:01:35,2026-04-28 12:40:45,,,2026-04-28 12:06:15,False,Under Investigation,False,N/A,HIGH,142,24
CSE-E,ALT-00508,ASSET-001,CRITICAL,Network Anomaly,2026-05-09 09:33:42,2026-05-09 10:16:36,,,2026-05-09 09:37:49,False,False Positive,False,Closed quickly — no notes.,MEDIUM,199,117
CSE-C,ALT-00509,ASSET-074,HIGH,Unauthorized Access,2026-06-22 16:04:02,2026-06-22 16:05:03,2026-06-22 16:17:03,2026-06-22 16:45:55,2026-06-22 23:24:50,False,False Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,120,43
CSE-B,ALT-00510,ASSET-017,MEDIUM,Unauthorized Access,2026-01-14 19:43:27,2026-01-14 20:05:07,2026-01-14 20:29:07,2026-01-14 21:18:32,2026-01-15 05:24:17,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,170,155
CSE-C,ALT-00511,ASSET-011,MEDIUM,Suspicious Login,2026-03-24 10:35:01,2026-03-24 11:03:01,,,2026-03-24 12:41:02,False,Under Investigation,False,N/A,HIGH,93,37
CSE-D,ALT-00512,ASSET-081,MEDIUM,Privilege Escalation,2026-02-17 12:47:19,2026-02-17 12:55:53,2026-02-17 13:19:53,2026-02-17 16:48:42,2026-02-18 01:10:56,False,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,154,158
CSE-D,ALT-00513,ASSET-081,LOW,Brute Force,2026-01-28 13:28:57,2026-01-28 13:36:02,2026-01-28 13:48:02,2026-01-28 15:49:27,2026-01-28 22:58:52,True,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,167,152
CSE-D,ALT-00514,ASSET-067,LOW,Suspicious Login,2026-03-18 12:02:42,2026-03-18 12:23:22,2026-03-18 12:25:22,2026-03-18 13:40:43,2026-03-18 21:39:01,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,198,166
CSE-A,ALT-00515,ASSET-045,MEDIUM,Suspicious Login,2026-02-25 03:55:57,2026-02-25 04:03:58,2026-02-25 04:11:58,2026-02-25 05:09:44,2026-02-25 09:23:15,False,Escalated to Tier-2,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,163,141
CSE-D,ALT-00516,ASSET-027,MEDIUM,Unauthorized Access,2026-02-19 12:22:43,2026-02-19 12:47:00,,,2026-02-19 23:44:50,False,True Positive,False,,MEDIUM,142,132
CSE-D,ALT-00517,ASSET-078,MEDIUM,Phishing,2026-03-23 15:32:27,2026-03-23 15:41:03,2026-03-23 16:02:03,2026-03-23 16:49:31,2026-03-23 17:15:35,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,162,178
CSE-C,ALT-00518,ASSET-089,HIGH,Brute Force,2026-02-16 14:39:50,2026-02-16 14:52:12,2026-02-16 14:59:12,2026-02-16 15:22:35,2026-02-16 16:27:01,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,132,29
CSE-C,ALT-00519,ASSET-074,LOW,Brute Force,2026-04-09 12:37:33,2026-04-09 12:51:39,,,2026-04-09 18:23:35,False,Under Investigation,False,N/A,MEDIUM,143,59
CSE-C,ALT-00520,ASSET-037,MEDIUM,Data Exfiltration,2026-02-20 17:25:31,2026-02-20 17:28:48,2026-02-20 17:32:48,2026-02-20 17:48:58,2026-02-20 20:36:25,False,Under Investigation,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,190,87
CSE-D,ALT-00521,ASSET-052,HIGH,Unauthorized Access,2026-01-10 18:00:02,2026-01-10 18:12:43,2026-01-10 18:28:43,2026-01-10 19:32:36,2026-01-11 07:33:02,False,Under Investigation,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,179,161
CSE-A,ALT-00522,ASSET-093,MEDIUM,Network Anomaly,2026-05-07 04:08:53,2026-05-07 04:22:32,2026-05-07 04:30:32,2026-05-07 05:10:24,2026-05-07 07:29:38,False,Under Investigation,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,101,78
CSE-E,ALT-00523,ASSET-059,LOW,Malware,2026-03-08 01:28:07,2026-03-08 01:39:26,2026-03-08 01:50:26,2026-03-08 04:32:16,2026-03-08 06:41:10,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,151,124
CSE-D,ALT-00524,ASSET-072,MEDIUM,Brute Force,2026-05-14 17:09:42,2026-05-14 17:26:59,2026-05-14 17:50:59,2026-05-14 22:13:13,2026-05-14 22:57:48,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,111,108
CSE-A,ALT-00525,ASSET-091,CRITICAL,Network Anomaly,2026-01-16 12:41:29,2026-01-16 13:09:53,2026-01-16 13:13:53,2026-01-16 16:23:06,2026-01-16 22:41:47,True,Escalated to Tier-2,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,144,110
CSE-B,ALT-00526,ASSET-015,LOW,Unauthorized Access,2026-04-26 17:31:12,2026-04-26 18:27:24,2026-04-26 18:41:24,2026-04-26 19:29:07,2026-04-26 20:41:33,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,187,111
CSE-D,ALT-00527,ASSET-084,MEDIUM,Network Anomaly,2026-04-01 10:26:22,2026-04-01 10:41:35,2026-04-01 10:58:35,2026-04-01 14:54:07,2026-04-01 12:36:03,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,198,180
CSE-B,ALT-00528,ASSET-009,HIGH,Phishing,2026-05-16 17:51:27,2026-05-16 18:10:10,2026-05-16 18:18:10,2026-05-16 18:51:24,2026-05-16 19:35:07,True,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,140,93
CSE-D,ALT-00529,ASSET-090,MEDIUM,Brute Force,2026-02-26 13:34:31,2026-02-26 13:42:41,2026-02-26 13:54:41,2026-02-26 16:37:26,2026-02-26 19:37:27,True,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,174,150
CSE-B,ALT-00530,ASSET-077,HIGH,Brute Force,2026-02-12 16:46:09,2026-02-12 16:52:51,2026-02-12 17:03:51,2026-02-12 17:14:02,2026-02-12 18:41:01,False,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,191,151
CSE-B,ALT-00531,ASSET-063,MEDIUM,Malware,2026-01-05 13:57:53,2026-01-05 14:32:26,2026-01-05 14:57:26,2026-01-05 15:40:15,2026-01-05 16:44:45,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,135,109
CSE-C,ALT-00532,ASSET-082,HIGH,Privilege Escalation,2026-03-19 17:50:49,2026-03-19 18:34:43,,,2026-03-19 23:01:50,False,Under Investigation,False,N/A,CRITICAL,142,73
CSE-B,ALT-00533,ASSET-068,HIGH,Malware,2026-03-04 16:21:23,2026-03-04 16:53:10,2026-03-04 17:06:10,2026-03-04 19:54:16,2026-03-05 02:41:07,False,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,159,144
CSE-E,ALT-00534,ASSET-088,HIGH,Phishing,2026-03-21 17:52:44,2026-03-21 18:41:37,2026-03-21 18:55:37,2026-03-21 20:57:13,2026-03-22 00:01:44,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,108,70
